state	Tree Length	Tree Height	Treeness	CCD1 information content (log(p))	CCD0 information content (log(p))	CCD1 expected RF distance	CCD0 expected RF distance	CCD1 RF distance	CCD0 RF distance
40	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
41	1.8853387000000001	0.4813542	0.1717286660481748	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
42	1.8853387000000001	0.4813542	0.1717286660481748	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
43	1.8853387000000001	0.4813542	0.1717286660481748	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
44	1.8853387000000001	0.4813542	0.1717286660481748	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
45	1.8853387000000001	0.4813542	0.1717286660481748	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
46	1.8853387000000001	0.4813542	0.1717286660481748	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
47	1.8853387000000001	0.4813542	0.1717286660481748	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
48	1.8853387000000001	0.4813542	0.1717286660481748	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
49	1.8853387000000001	0.4813542	0.1717286660481748	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
50	1.8853387000000001	0.4813542	0.1717286660481748	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
51	1.8853387000000001	0.4813542	0.1717286660481748	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
52	1.8070983999999999	0.46137859999999997	0.17172855667405826	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
53	1.8070983999999999	0.46137859999999997	0.17172855667405826	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
54	1.8070983999999999	0.46137859999999997	0.17172855667405826	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
55	1.8070983999999999	0.46137859999999997	0.17172855667405826	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
56	1.8070983999999999	0.46137859999999997	0.17172855667405826	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
57	1.8070983999999999	0.46137859999999997	0.17172855667405826	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
58	1.8070983999999999	0.46137859999999997	0.17172855667405826	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
59	1.8070983999999999	0.46137859999999997	0.17172855667405826	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
60	1.8070983999999999	0.46137859999999997	0.17172855667405826	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
61	1.8070983999999999	0.46137859999999997	0.17172855667405826	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
62	1.8070983999999999	0.46137859999999997	0.17172855667405826	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
63	1.8070983999999999	0.46137859999999997	0.17172855667405826	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
64	1.7523545999999999	0.4340068	0.1614733684609268	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
65	1.7523545999999999	0.4340068	0.1614733684609268	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
66	1.7523545999999999	0.4340068	0.1614733684609268	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
67	1.7399136999999996	0.430925	0.16147277879356892	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
68	1.8656792000000002	0.493808	0.1842927765931035	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
69	2.0496973	0.542514	0.18429321246605537	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
70	2.0496973	0.542514	0.18429321246605537	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
71	2.0496973	0.542514	0.18429321246605537	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
72	2.0496973	0.542514	0.18429321246605537	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
73	2.0496973	0.542514	0.18429321246605537	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
74	2.0496973	0.542514	0.18429321246605537	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
75	2.0496973	0.542514	0.18429321246605537	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
76	2.0496973	0.542514	0.18429321246605537	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
77	2.0496973	0.542514	0.18429321246605537	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
78	2.0496973	0.542514	0.18429321246605537	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
79	2.0496973	0.542514	0.18429321246605537	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
80	2.0496973	0.542514	0.18429321246605537	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
81	2.0496973	0.542514	0.18429321246605537	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
82	2.0496973	0.542514	0.18429321246605537	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
83	2.0496973	0.542514	0.18429321246605537	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
84	2.0496973	0.542514	0.18429321246605537	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
85	2.0496973	0.542514	0.18429321246605537	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
86	2.0088723	0.5221013	0.17787755846899775	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
87	2.1595224999999996	0.561255	0.17787705383944832	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
88	2.1595224999999996	0.561255	0.17787705383944832	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
89	2.1595224999999996	0.561255	0.17787705383944832	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
90	2.1595224999999996	0.561255	0.17787705383944832	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
91	2.1595224999999996	0.561255	0.17787705383944832	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
92	2.1595224999999996	0.561255	0.17787705383944832	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
93	2.1595224999999996	0.561255	0.17787705383944832	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
94	2.1595224999999996	0.561255	0.17787705383944832	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
95	2.1595224999999996	0.561255	0.17787705383944832	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
96	2.1595224999999996	0.561255	0.17787705383944832	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
97	2.1595224999999996	0.561255	0.17787705383944832	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
98	2.1595224999999996	0.561255	0.17787705383944832	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
99	2.1595224999999996	0.561255	0.17787705383944832	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
100	2.1595224999999996	0.561255	0.17787705383944832	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
101	1.8290487	0.475366	0.17787754913250806	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
102	1.8290487	0.475366	0.17787754913250806	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
103	1.8290487	0.475366	0.17787754913250806	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
104	1.8290487	0.475366	0.17787754913250806	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
105	1.8290487	0.475366	0.17787754913250806	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
106	1.8290487	0.475366	0.17787754913250806	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
107	1.8290487	0.475366	0.17787754913250806	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
108	1.8290487	0.475366	0.17787754913250806	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
109	1.8991565	0.475366	0.13439677035568162	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
110	1.8991565	0.475366	0.13439677035568162	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
111	1.815001	0.43328829999999996	0.1174451143553089	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
112	1.815001	0.43328829999999996	0.1174451143553089	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
113	1.815001	0.43328829999999996	0.1174451143553089	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
